,budget_rank,budget,domestic_gross,worldwide_gross,dom_profits,total_profits,budget_quart,profit_transform,dom_profit_transform,rating,critic_rating,aud_rating,release_date
Josie and the Pussycats,2086,22000000,14252830,14252830,-7747170,-7747170,68.4866100769,18.4473525869,19.084368995,52,0,0,
Hit & Run,2087,22000000,13749300,17216955,-8250700,-4783045,68.4866100769,18.4758050622,19.081772707,12,0,0,
The Little Vampire,2088,22000000,13555988,13555988,-8444012,-8444012,68.4866100769,18.4405444479,19.0807741634,35,0,0,
I Heart Huckabees,2089,22000000,12784713,20034713,-9215287,-1965287,68.4866100769,18.5021220578,19.0767802255,35,0,0,
Out of the Furnace,2090,22000000,11330849,15434375,-10669151,-6565625,68.4866100769,18.4587913894,19.0692079456,44,0,0,
RoboCop 3,2091,22000000,10696210,10696210,-11303790,-11303790,68.4866100769,18.4121086282,19.0658844396,60,0,0,
Dudley Do-Right,2092,22000000,9818792,9818792,-12181208,-12181208,68.4866100769,18.4032195203,19.0612712693,96,0,0,
Megiddo: Omega Code 2,2093,22000000,6047691,6047691,-15952309,-15952309,68.4866100769,18.3640885193,19.0411981547,90,0,0,
Darling Lili,2094,22000000,5000000,5000000,-17000000,-17000000,68.4866100769,18.3529396816,19.035549149,72,0,0,
The Libertine,2095,22000000,4835065,9448623,-17164935,-12551377,68.4866100769,18.3994455141,19.0346569277,13,0,0,
Zwartboek,2096,22000000,4398532,27238354,-17601468,5238354,68.4866100769,18.5664126221,19.0322916391,54,0,0,
Before I Go to Sleep,2097,22000000,3242457,6342457,-18757543,-15657543,68.4866100769,18.3672029496,19.0260004583,28,0,0,
Stone,2098,22000000,1810078,4065020,-20189922,-17934980,68.4866100769,18.3428841836,19.0181503718,9,0,0,
Joyeux Noël,2099,22000000,1054361,23134075,-20945639,1134075,68.4866100769,18.5302910695,19.0139837326,61,0,0,
Sorcerer,2102,21600000,12000000,12000000,-9600000,-9600000,68.173161988,18.4291472221,19.0747820653,36,0,0,
Molière,2103,21600000,635733,791154,-20964267,-20808846,68.173161988,18.3113277803,19.0138808078,86,0,0,
Michael Clayton,2104,21500000,49033882,92987651,27533882,71487651,68.0941205079,19.0191759396,19.2513055337,49,0,0,
Arlington Road,2105,21500000,24362501,24362501,2862501,2862501,68.0941205079,18.5456621911,19.1375631131,61,0,0,
My Fellow Americans,2106,21500000,22294341,22294341,794341,794341,68.0941205079,18.5272417858,19.1274135309,56,0,0,
To Rome with Love,2107,21500000,16684352,74363777,-4815648,52863777,68.0941205079,18.9111854024,19.0993520174,65,0,0,
Silver Linings Playbook,2108,21000000,132092958,236412453,111092958,215412453,67.6947242771,19.6019866697,19.5618232601,12,0,0,
"South Park: Bigger, Longer & Uncut",2109,21000000,52037603,52037603,31037603,31037603,67.6947242771,18.7677243704,19.2664585525,22,0,0,
Firefox,2110,21000000,45785720,45785720,24785720,24785720,67.6947242771,18.7225316774,19.2392573894,39,0,0,
Teenage Mutant Ninja Turtles III,2112,21000000,42273609,42273609,21273609,21273609,67.6947242771,18.6962182514,19.223645677,33,0,0,
Hardball,2113,21000000,40222729,43728560,19222729,22728560,67.6947242771,18.7072031593,19.2144152918,71,0,0,
For Colored Girls,2114,21000000,37729698,38017873,16729698,17017873,67.6947242771,18.6633768129,19.2030789621,27,0,0,
Freedom Writers,2115,21000000,36605602,43632609,15605602,22632609,67.6947242771,18.7064824322,19.1979251232,12,0,0,
The Transporter,2116,21000000,25296447,43928932,4296447,22928932,67.6947242771,18.7087065624,19.1445402748,63,0,0,
Never Back Down,2117,21000000,24850922,39319801,3850922,18319801,67.6947242771,18.6735387593,19.1423776888,96,0,0,
Tinker Tailor Soldier Spy,2118,21000000,24149393,81452811,3149393,60452811,67.6947242771,18.9566070122,19.1389629466,72,0,0,
The Bachelor,2119,21000000,21731001,36882378,731001,15882378,67.6947242771,18.654428828,19.1271010555,16,0,0,
The Rage: Carrie 2,2120,21000000,17757087,17757087,-3242913,-3242913,67.6947242771,18.4902751719,19.1072986955,92,0,0,
Swing Vote,2121,21000000,16289867,17589867,-4710133,-3410133,67.6947242771,18.4887141727,19.0998871418,66,0,0,
Away We Go,2122,21000000,9451946,10108016,-11548054,-10891984,67.6947242771,18.4162535384,19.0646023174,96,0,0,
Moonlight Mile,2123,21000000,6830957,6830957,-14169043,-14169043,67.6947242771,18.3827836242,19.0507404994,18,0,0,
The Beaver,2124,21000000,970816,5046038,-20029184,-15953962,67.6947242771,18.3640710267,19.0190343648,70,0,0,
Molly,2125,21000000,17396,17396,-20982604,-20982604,67.6947242771,18.3093875314,19.0137794804,0,0,0,
eXistenZ,2127,20700000,2840417,2840417,-17859583,-17859583,67.4516513247,18.3436988199,19.0308904452,71,0,0,
The Best Little Whorehouse in Texas,2128,20500000,69701637,69701637,49201637,49201637,67.2881309673,18.8885062466,19.3415328888,35,0,0,
Pulse,2129,20500000,20264436,30241435,-235564,9741435,67.2881309673,18.6045983348,19.122320545,83,0,0,
Raiders of the Lost Ark,2130,20000000,248159971,389925971,228159971,369925971,66.8740304976,19.990080132,19.8795313017,32,0,0,
Beauty and the Beast,2131,20000000,218951625,451421625,198951625,431421625,66.8740304976,20.1105401237,19.8092049821,81,0,0,
Home Alone 2: Lost in New York,2132,20000000,170004045,355413379,150004045,335413379,66.8740304976,19.9155236807,19.6789865113,89,0,0,
Close Encounters of the Third Kind,2133,20000000,166000000,337700000,146000000,317700000,66.8740304976,19.8749847247,19.6675444057,50,0,0,
Beverly Hills Cop II,2134,20000000,152932902,275932902,132932902,255932902,66.8740304976,19.7191901854,19.6292655656,81,0,0,
The Conjuring,2135,20000000,137400141,318000141,117400141,298000141,66.8740304976,19.8278810035,19.5817715021,9,0,0,
Bringing Down the House,2136,20000000,132675402,164675402,112675402,144675402,66.8740304976,19.3572667034,19.5668657036,12,0,0,
The Silence of the Lambs,2137,20000000,124507594,269507594,104507594,249507594,66.8740304976,19.7014974604,19.5405616274,49,0,0,
Wayne's World,2138,20000000,119352584,180752584,99352584,160752584,66.8740304976,19.4183775344,19.5235967749,99,0,0,
Jackass 3D,2139,20000000,117229692,171685793,97229692,151685793,66.8740304976,19.3843741446,19.5165259177,5,0,0,
Jaws 2,2140,20000000,102922376,208900376,82922376,188900376,66.8740304976,19.5171260798,19.4675213677,52,0,0,
Beverly Hills Chihuahua,2141,20000000,94514402,154218168,74514402,134218168,66.8740304976,19.3154144233,19.4375612323,1,0,0,
Tammy,2142,20000000,84525432,92025432,64525432,72025432,66.8740304976,19.022127429,19.4007600396,12,0,0,
The Descendants,2143,20000000,82624961,175507800,62624961,155507800,66.8740304976,19.3988491175,19.3936023715,74,0,0,
Are We There Yet?,2144,20000000,82301521,97741594,62301521,77741594,66.8740304976,19.0529724048,19.3923790944,23,0,0,
School of Rock,2145,20000000,81261177,131945303,61261177,111945303,66.8740304976,19.2199680887,19.3884342483,57,0,0,
Disturbia,2146,20000000,80106701,117825354,60106701,97825354,66.8740304976,19.1543727415,19.384038335,66,0,0,
Mortal Kombat,2147,20000000,70423929,122123929,50423929,102123929,66.8740304976,19.1748015255,19.3463880009,41,0,0,
White Chicks,2148,20000000,69148997,111448997,49148997,91448997,66.8740304976,19.1232793141,19.3413232651,83,0,0,
Obsessed,2149,20000000,68261644,73964713,48261644,53964713,66.8740304976,18.9179040037,19.3377830065,84,0,0,
Holes,2150,20000000,67383924,71232214,47383924,51232214,66.8740304976,18.9011448215,19.3342688069,24,0,0,
Tyler Perry's Madea's Witness Protection,2151,20000000,65653242,65653242,45653242,45653242,66.8740304976,18.8660297043,19.3273031398,22,0,0,
The Last Song,2152,20000000,62950384,92678948,42950384,72678948,66.8740304976,19.0257024181,19.3163266504,10,0,0,
Why Did I Get Married Too?,2153,20000000,60095852,60831067,40095852,40831067,66.8740304976,18.8346516352,19.3046018798,33,0,0,
12 Years a Slave,2154,20000000,56671993,181025343,36671993,161025343,66.8740304976,19.419382767,19.2903548666,24,0,0,
Drumline,2155,20000000,56398162,56398162,36398162,36398162,66.8740304976,18.8049113474,19.2892066145,99,0,0,
Edward Scissorhands,2156,20000000,53976987,53976987,33976987,33976987,66.8740304976,18.7882863332,19.2789961506,43,0,0,
Selma,2157,20000000,52076908,66776908,32076908,46776908,66.8740304976,18.873202133,19.270909572,70,0,0,
Popeye,2158,20000000,49823037,49823037,29823037,29823037,66.8740304976,18.7591030708,19.2612317152,40,0,0,
Date Movie,2159,20000000,48548426,85146165,28548426,65146165,66.8740304976,18.9836987777,19.2557169379,61,0,0,
Peter Pan: Return to Neverland,2160,20000000,48423368,109855792,28423368,89855792,66.8740304976,19.115356925,19.2551742155,1,0,0,
The Jungle Book 2,2161,20000000,47901582,140122225,27901582,120122225,66.8740304976,19.2560757615,19.2529066031,79,0,0,
Premonition,2162,20000000,47852604,81461343,27852604,61461343,66.8740304976,18.962490862,19.252693487,27,0,0,
Boogeyman,2163,20000000,46363118,66803595,26363118,46803595,66.8740304976,18.8733718539,19.2461905551,50,0,0,
The Tigger Movie,2164,20000000,45542421,96147688,25542421,76147688,66.8740304976,19.0444667531,19.2425893301,51,0,0,
Max,2165,20000000,42656255,43553101,22656255,23553101,66.8740304976,18.7133753054,19.2298208077,5,0,0,
Meet the Browns,2166,20000000,41975388,41975388,21975388,21975388,66.8740304976,18.7015317629,19.2267847059,25,0,0,
Orphan,2167,20000000,41596251,78337373,21596251,58337373,66.8740304976,18.9441517666,19.2250900653,65,0,0,
Epic Movie,2168,20000000,39739367,86858578,19739367,66858578,66.8740304976,18.9934035161,19.2167485621,7,0,0,
Lakeview Terrace,2169,20000000,39263506,44821299,19263506,24821299,66.8740304976,18.7227947311,19.2145996493,68,0,0,
The Grudge 2,2170,20000000,39143839,70743839,19143839,50743839,66.8740304976,18.8981196691,19.2140585247,25,0,0,
Conan the Barbarian,2171,20000000,38264085,79114085,18264085,59114085,66.8740304976,18.9487429232,19.2100713324,31,0,0,
How Stella Got Her Groove Back,2172,20000000,37672350,37672350,17672350,17672350,66.8740304976,18.6684981136,19.2073805198,59,0,0,
Bill & Ted's Bogus Journey,2173,20000000,37537675,37537675,17537675,17537675,66.8740304976,18.6674464191,19.2067670957,13,0,0,
Man of the Year,2174,20000000,37442180,41342180,17442180,21342180,66.8740304976,18.6967386822,19.2063319025,60,0,0,
Vampires Suck,2175,20000000,36661504,81424988,16661504,61424988,66.8740304976,18.9622793646,19.2027670568,14,0,0,
The Black Hole,2176,20000000,35841901,35841901,15841901,15841901,66.8740304976,18.6541083764,19.1990107316,67,0,0,
The American,2177,20000000,35606376,67950723,15606376,47950723,66.8740304976,18.8806401296,19.197928681,15,0,0,
Selena,2178,20000000,35422828,35422828,15422828,15422828,66.8740304976,18.6507845763,19.1970846111,62,0,0,
A Very Harold & Kumar 3D Christmas,2179,20000000,35061031,36265745,15061031,16265745,66.8740304976,18.6574588174,19.1954187502,25,0,0,
Eternal Sunshine of the Spotless Mind,2180,20000000,34366518,73135439,14366518,53135439,66.8740304976,18.9128474539,19.1922131316,37,0,0,
Texas Chainsaw 3D,2181,20000000,34341945,47666013,14341945,27666013,66.8740304976,18.7436063161,19.1920995232,20,0,0,
Babel,2182,20000000,34302837,132121212,14302837,112121212,66.8740304976,19.2207587496,19.1919186884,30,0,0,
This is Where I Leave You,2183,20000000,34296320,41296320,14296320,21296320,66.8740304976,18.6963906502,19.1918885507,98,0,0,
Doubt,2184,20000000,33446470,53191101,13446470,33191101,66.8740304976,18.7828300771,19.1879506405,37,0,0,
Team America: World Police,2185,20000000,32774834,50274834,12774834,30274834,66.8740304976,18.7623187294,19.1848275046,35,0,0,
Scary Movie V,2186,20000000,32015787,78613981,12015787,58613981,66.8740304976,18.9457892185,19.181286123,46,0,0,
Copycat,2187,20000000,31925151,31925151,11925151,11925151,66.8740304976,18.6226038703,19.1808624157,68,0,0,
Milk,2188,20000000,31841299,57293371,11841299,37293371,66.8740304976,18.810988985,19.1804702624,80,0,0,
Paint Your Wagon,2189,20000000,31678778,31678778,11678778,11678778,66.8740304976,18.620588585,19.1797097571,15,0,0,
She's Out of My League,2190,20000000,31628317,48298434,11628317,28298434,66.8740304976,18.7481747683,19.1794735108,18,0,0,
The Debt,2191,20000000,31177548,46604054,11177548,26604054,66.8740304976,18.7358877265,19.1773606385,26,0,0,
Ghost Ship,2192,20000000,30113491,68349884,10113491,48349884,66.8740304976,18.8831569003,19.1723553464,66,0,0,
Daybreakers,2193,20000000,30101577,51445503,10101577,31445503,66.8740304976,18.7706031558,19.1722991613,8,0,0,
The Bank Job,2194,20000000,30060660,66143005,10060660,46143005,66.8740304976,18.869162218,19.172106177,42,0,0,
Wild Things,2195,20000000,29753944,55535344,9753944,35535344,66.8740304976,18.7990184488,19.1706583693,95,0,0,
The Stepfather,2196,20000000,29062561,29227561,9062561,9227561,66.8740304976,18.6003137148,19.1673870894,38,0,0,
High Fidelity,2197,20000000,27277055,47881663,7277055,27881663,66.8740304976,18.7451664642,19.1588891257,72,0,0,
Stick It,2198,20000000,26910736,30399714,6910736,10399714,66.8740304976,18.6100603011,19.1571366981,81,0,0,
One Missed Call,2199,20000000,26890041,44513466,6890041,24513466,66.8740304976,18.7205164707,19.1570376039,95,0,0,
Eye for an Eye,2200,20000000,26729447,26729447,6729447,6729447,66.8740304976,18.5792191181,19.1562682952,99,0,0,
Street Kings,2201,20000000,26415649,65454793,6415649,45454793,66.8740304976,18.8647576299,19.1547633686,88,0,0,
The World's End,2202,20000000,26004851,47508505,6004851,27508505,66.8740304976,18.7424652637,19.1527898158,18,0,0,
From Dusk Till Dawn,2203,20000000,25728961,25728961,5728961,5728961,66.8740304976,18.5706444105,19.1514621973,10,0,0,
You Again,2204,20000000,25702053,32838945,5702053,12838945,66.8740304976,18.6300432677,19.1513326181,8,0,0,
Alpha and Omega 3D,2205,20000000,25107267,48958353,5107267,28958353,66.8740304976,18.7529197116,19.1484640484,3,0,0,
Endless Love,2206,20000000,23438250,34614964,3438250,14614964,66.8740304976,18.6443458073,19.140370391,71,0,0,
The Covenant,2207,20000000,23342105,38142105,3342105,18142105,66.8740304976,18.672157858,19.1399021481,21,0,0,
Monte Carlo,2208,20000000,23186769,39686769,3186769,19686769,66.8740304976,18.6840983843,19.1391451713,38,0,0,
Stay Alive,2209,20000000,23086480,23187506,3086480,3187506,66.8740304976,18.5485262979,19.1386561426,51,0,0,
2 For the Money,2210,20000000,22862049,30362049,2862049,10362049,66.8740304976,18.6097485851,19.1375609061,48,0,0,
Quigley Down Under,2211,20000000,21413105,21413105,1413105,1413105,66.8740304976,18.5327885683,19.1304609556,60,0,0,
Psycho,2212,20000000,21380220,37065220,1380220,17065220,66.8740304976,18.6637481859,19.1302992297,51,0,0,
To Die For,2213,20000000,21016710,27420940,1016710,7420940,66.8740304976,18.5851029082,19.1285097718,43,0,0,
Shorts,2214,20000000,20919166,29870801,919166,9870801,66.8740304976,18.6056740868,19.1280290446,74,0,0,
Vampires,2215,20000000,20241395,20241395,241395,241395,66.8740304976,18.5222588484,19.1246823812,12,0,0,
Appaloosa,2216,20000000,20211394,27911453,211394,7911453,66.8740304976,18.5892557062,19.1245339846,72,0,0,
Yu-Gi-Oh,2217,20000000,19762690,28762690,-237310,8762690,66.8740304976,18.5964217967,19.1223118887,21,0,0,
Reign Over Me,2218,20000000,19661987,20081987,-338013,81987,66.8740304976,18.5208177016,19.1218125028,28,0,0,
My Best Friend's Girl,2219,20000000,19219250,34787111,-780750,14787111,66.8740304976,18.6457213189,19.1196140079,47,0,0,
Georgia Rule,2220,20000000,18882880,20819601,-1117120,819601,66.8740304976,18.5274688272,19.1179404615,89,0,0,
Under the Rainbow,2221,20000000,18826490,18826490,-1173510,-1173510,66.8740304976,18.5093940486,19.1176596292,87,0,0,
Into the Wild,2222,20000000,18354356,56822960,-1645644,36822960,66.8740304976,18.8077999369,19.1153052178,68,0,0,
Simon Birch,2223,20000000,18252684,18309860,-1747316,-1690140,66.8740304976,18.5046551157,19.1147974794,25,0,0,
Ladyhawke,2224,20000000,18248879,18248879,-1751121,-1751121,66.8740304976,18.5040942657,19.1147784726,94,0,0,
Pooh's Heffalump Movie,2225,20000000,18098433,52858433,-1901567,32858433,66.8740304976,18.7805114284,19.1140266748,88,0,0,
School for Scoundrels,2226,20000000,17807569,17807569,-2192431,-2192431,66.8740304976,18.5000260794,19.1125715857,57,0,0,
Silent Hill: Revelation 3D,2227,20000000,17530219,55975672,-2469781,35975672,66.8740304976,18.8020301521,19.1111821275,11,0,0,
Home for the Holidays,2228,20000000,17424349,22074731,-2575651,2074731,66.8740304976,18.5386857373,19.1106512342,15,0,0,
Fired Up,2229,20000000,17231291,18608570,-2768709,-1391430,66.8740304976,18.5073978544,19.1096824038,5,0,0,
Kung Fu Hustle,2230,20000000,17104669,102034104,-2895331,82034104,66.8740304976,19.075525389,19.1090464616,52,0,0,
The Country Bears,2231,20000000,16988996,16988996,-3011004,-3011004,66.8740304976,18.4924360179,19.1084651556,91,0,0,
21 Grams,2232,20000000,16248701,59667625,-3751299,39667625,66.8740304976,18.8269313236,19.1047368356,17,0,0,
Armored,2233,20000000,15988876,23661038,-4011124,3661038,66.8740304976,18.5526846707,19.1034249861,20,0,0,
The Kite Runner,2234,20000000,15800078,74180745,-4199922,54180745,66.8740304976,18.9192170849,19.1024706694,62,0,0,
Paparazzi,2235,20000000,15712072,16612072,-4287928,-3387928,66.8740304976,18.4889215968,19.1020255143,85,0,0,
A Guy Thing,2236,20000000,15543862,17430594,-4456138,-2569406,66.8740304976,18.4965378056,19.1011741168,2,0,0,
The Greatest Story Ever Told,2237,20000000,15473333,15473333,-4526667,-4526667,66.8740304976,18.4782284016,19.1008169173,12,0,0,
Loser,2238,20000000,15464026,18250106,-4535974,-1749894,66.8740304976,18.5041055537,19.1007697718,1,0,0,
Twilight,2239,20000000,15030732,15030732,-4969268,-4969268,66.8740304976,18.4740411535,19.0985724137,23,0,0,
Secret in Their Eyes,2240,20000000,15012671,18809832,-4987329,-1190168,66.8740304976,18.5092415983,19.0984807163,38,0,0,
Capitalism: A Love Story,2241,20000000,14363397,19121531,-5636603,-878469,66.8740304976,18.5120903538,19.0951786936,89,0,0,
Lockout,2242,20000000,14326865,33943049,-5673135,13943049,66.8740304976,18.638958806,19.0949925779,18,0,0,
Disaster Movie,2243,20000000,14190901,36720752,-5809099,16720752,66.8740304976,18.6610431484,19.0942995918,89,0,0,
What's Your Number?,2244,20000000,14011084,30163785,-5988916,10163785,66.8740304976,18.6081061457,19.0933823561,69,0,0,
The Man Who Knew Too Little,2245,20000000,13801755,13801755,-6198245,-6198245,66.8740304976,18.4623215744,19.0923135206,10,0,0,
Crank 2: High Voltage,2246,20000000,13684249,35472739,-6315751,15472739,66.8740304976,18.6511810162,19.091713033,100,0,0,
Burnt,2247,20000000,13550619,27290690,-6449381,7290690,66.8740304976,18.5839972774,19.091029709,23,0,0,
Envy,2248,20000000,13548322,14566246,-6451678,-5433754,66.8740304976,18.4696279245,19.0910179591,7,0,0,
One Night with the King,2249,20000000,13395961,13725032,-6604039,-6274968,66.8740304976,18.4615853656,19.0902382737,23,0,0,
Ghost Town,2250,20000000,13252641,29843245,-6747359,9843245,66.8740304976,18.6054450399,19.0895042991,79,0,0,
Bullets Over Broadway,2251,20000000,13202987,13202987,-6797013,-6797013,66.8740304976,18.4565615494,19.0892498839,91,0,0,
The Quiet American,2252,20000000,12987647,26348203,-7012353,6348203,66.8740304976,18.575960315,19.0881457836,4,0,0,
The Weather Man,2253,20000000,12482775,15466961,-7517225,-4533039,66.8740304976,18.4781682432,19.085552393,40,0,0,
Undisputed,2254,20000000,12398628,12398628,-7601372,-7601372,66.8740304976,18.4487711872,19.085119498,46,0,0,
12 Rounds,2255,20000000,12234694,17306648,-7765306,-2693352,66.8740304976,18.4953882293,19.0842755996,34,0,0,
Let Me In,2256,20000000,12134935,28270399,-7865065,8270399,66.8740304976,18.5922837367,19.083761712,49,0,0,
3 Ninjas Kick Back,2257,20000000,11744960,11744960,-8255040,-8255040,66.8740304976,18.4423952876,19.0817502999,98,0,0,
Be Kind Rewind,2258,20000000,11175164,30894247,-8824836,10894247,66.8740304976,18.6141440751,19.0788041141,1,0,0,
Mrs. Henderson Presents,2259,20000000,11036366,27836366,-8963634,7836366,66.8740304976,18.5886211189,19.0780851288,22,0,0,
Three to Tango,2260,20000000,10570375,10570375,-9429625,-9429625,66.8740304976,18.4308351828,19.0756674683,29,0,0,
Deconstructing Harry,2261,20000000,10569071,10569071,-9430929,-9430929,66.8740304976,18.4308222744,19.0756606947,80,0,0,
We're No Angels,2262,20000000,10555348,10555348,-9444652,-9444652,66.8740304976,18.4306864199,19.0755894077,75,0,0,
Everyone Says I Love You,2263,20000000,9714482,34588635,-10285518,14588635,66.8740304976,18.644135263,19.0712116285,31,0,0,
Death Sentence,2264,20000000,9534258,16907831,-10465742,-3092169,66.8740304976,18.4916802822,19.0702708337,90,0,0,
Everybody's Fine,2265,20000000,9208876,9208876,-10791124,-10791124,66.8740304976,18.4172661008,19.0685700488,99,0,0,
Super Babies: Baby Geniuses 2,2266,20000000,9109322,9355369,-10890678,-10644631,66.8740304976,18.4187349622,19.0680490975,11,0,0,
Battle of the Year,2267,20000000,8888355,16723377,-11111645,-3276623,66.8740304976,18.489960685,19.0668918395,53,0,0,
Death at a Funeral,2268,20000000,8580428,46790428,-11419572,26790428,66.8740304976,18.737246658,19.065276914,48,0,0,
The Man,2269,20000000,8330720,10393696,-11669280,-9606304,66.8740304976,18.4290847116,19.0639654009,41,0,0,
Code Name: The Cleaner,2270,20000000,8135024,8135024,-11864976,-11864976,66.8740304976,18.4064323765,19.0629363653,35,0,0,
Inherent Vice,2271,20000000,8110975,8692898,-11889025,-11307102,66.8740304976,18.4120752225,19.0628098344,42,0,0,
Connie & Carla,2272,20000000,8047525,8047525,-11952475,-11952475,66.8740304976,18.4055444359,19.0624759232,49,0,0,
Machete Kills,2273,20000000,8008161,18273009,-11991839,-1726991,66.8740304976,18.50431623,19.0622687106,3,0,0,
Sweet Charity,2274,20000000,8000000,8000000,-12000000,-12000000,66.8740304976,18.4050618212,19.0622257456,20,0,0,
Doogal,2275,20000000,7578946,28058652,-12421054,8058652,66.8740304976,18.5904985707,19.0600065267,95,0,0,
Proof,2276,20000000,7535331,8284331,-12464669,-11715669,66.8740304976,18.4079457269,19.0597763665,5,0,0,
An American Carol,2277,20000000,7008265,7017257,-12991735,-12982743,66.8740304976,18.3950295369,19.0569907968,45,0,0,
Willard,2278,20000000,6882696,6882696,-13117304,-13117304,66.8740304976,18.39364801,19.0563260123,6,0,0,
Strange Wilderness,2279,20000000,6575282,6947084,-13424718,-13052916,66.8740304976,18.3943093145,19.0546966406,14,0,0,
Little Boy,2280,20000000,6485961,7826546,-13514039,-12173454,66.8740304976,18.4032984231,19.0542227186,3,0,0,
Topsy Turvy,2281,20000000,6201757,6201757,-13798243,-13798243,66.8740304976,18.3866274464,19.0527132846,9,0,0,
Chasing Mavericks,2282,20000000,6002756,8300821,-13997244,-11699179,66.8740304976,18.4081127263,19.0516550138,66,0,0,
A Most Violent Year,2283,20000000,5749134,6071433,-14250866,-13928567,66.8740304976,18.3852781526,19.0503046479,96,0,0,
A Dangerous Method,2284,20000000,5702083,14807531,-14297917,-5192469,66.8740304976,18.4719228806,19.0500539324,39,0,0,
A Scanner Darkly,2285,20000000,5501616,7405084,-14498384,-12594916,66.8740304976,18.3990006807,19.0489850211,88,0,0,
Bandslam,2286,20000000,5210988,12967829,-14789012,-7032171,66.8740304976,18.4542902728,19.04743333,54,0,0,
Alone in the Dark,2287,20000000,5132655,8132655,-14867345,-11867345,66.8740304976,18.4064083462,19.0470146902,38,0,0,
Birth,2288,20000000,5005899,14603001,-14994101,-5396999,66.8740304976,18.4699778559,19.046336889,100,0,0,
Passchendaele,2289,20000000,4452423,4453327,-15547577,-15546673,66.8740304976,18.368371871,19.0433718975,32,0,0,
Flash of Genius,2290,20000000,4295905,4357639,-15704095,-15642361,66.8740304976,18.3673630968,19.0425318277,14,0,0,
I'm Not There,2291,20000000,4017609,12397613,-15982391,-7602387,66.8740304976,18.4487613183,19.0410364009,79,0,0,
The Cold Light of Day,2292,20000000,3763583,12425385,-16236417,-7574615,66.8740304976,18.4490313118,19.0396694342,28,0,0,
The Brothers Bloom,2293,20000000,3531756,5531756,-16468244,-14468244,66.8740304976,18.3796712111,19.0384202921,70,0,0,
"Synecdoche, New York",2294,20000000,3083538,4383538,-16916462,-15616462,66.8740304976,18.367636233,19.036000747,39,0,0,
Mononoke-hime,2295,20000000,2374107,150350000,-17625893,130350000,66.8740304976,19.2994782764,19.0321591305,30,0,0,
Bon Voyage,2296,20000000,2353728,8361736,-17646272,-11638264,66.8740304976,18.4087293903,19.0320485585,32,0,0,
My All-American,2297,20000000,2246000,2246000,-17754000,-17754000,66.8740304976,18.3448384904,19.0314638467,90,0,0,
Can't Stop the Music,2298,20000000,2000000,2000000,-18000000,-18000000,66.8740304976,18.3421811335,19.0301273572,32,0,0,
The Proposition,2299,20000000,1903434,5313608,-18096566,-14686392,66.8740304976,18.3773958232,19.0296022367,76,0,0,
Marci X,2300,20000000,1646664,1646664,-18353336,-18353336,66.8740304976,18.3383519069,19.0282045929,20,0,0,
Equilibrium,2301,20000000,1190018,5345869,-18809982,-14654131,66.8740304976,18.3777326472,19.0257141529,64,0,0,
Dylan Dog: Dead of Night,2302,20000000,1186538,6093725,-18813462,-13906275,66.8740304976,18.3855090792,19.02569515,64,0,0,
The Oogieloves in the BIG Balloon Adventure,2303,20000000,1065907,1065907,-18934093,-18934093,66.8740304976,18.3320260066,19.0250362073,83,0,0,
The Children of Huang Shi,2304,20000000,1031872,8221700,-18968128,-11778300,66.8740304976,18.4073111885,19.0248502138,58,0,0,
The Yards,2305,20000000,882710,2282710,-19117290,-17717290,66.8740304976,18.3452344367,19.024034669,73,0,0,
All Good Things,2306,20000000,582024,645024,-19417976,-19354976,66.8740304976,18.3274163961,19.0223886407,30,0,0,
By the Sea,2307,20000000,508989,1533770,-19491011,-18466230,66.8740304976,18.3371253374,19.02198842,41,0,0,
Steamboy,2308,20000000,468867,10468867,-19531133,-9531133,66.8740304976,18.429829853,19.0217684894,1,0,0,
The Game of Their Lives,2309,20000000,375474,375474,-19624526,-19624526,66.8740304976,18.3244530194,19.0212563638,48,0,0,
Rapa Nui,2310,20000000,305070,305070,-19694930,-19694930,66.8740304976,18.3236775639,19.0208701262,80,0,0,
The Tempest,2311,20000000,277943,277943,-19722057,-19722057,66.8740304976,18.3233786166,19.0207212672,72,0,0,
CJ7,2312,20000000,206678,47300771,-19793322,27300771,66.8740304976,18.7409583599,19.020330096,73,0,0,
"Couloirs du temps: Les visiteurs 2, Les",2313,20000000,146072,26146072,-19853928,6146072,66.8740304976,18.5742282191,19.0199973112,46,0,0,
People I Know,2314,20000000,121972,5694213,-19878028,-14305787,66.8740304976,18.3813623581,19.0198649484,44,0,0,
Der Baader Meinhof Komplex,2327,19700000,476270,16498827,-19223730,-3201173,66.6218297875,18.4906644352,19.0234523003,41,0,0,
The Painted Veil,2328,19400000,8060487,15118795,-11339513,-4281205,66.3667319454,18.4805430707,19.065697035,58,0,0,
The Devil's Double,2330,19100000,1361512,2406666,-17738488,-16693334,66.1086581068,18.3562159055,19.0315480617,89,0,0,
Back to the Future,2331,19000000,212259762,385524862,193259762,366524862,66.0219580408,19.9829748546,19.7949052642,53,0,0,
Dances with Wolves,2332,19000000,175293948,415285106,156293948,396285106,66.0219580408,20.0434994292,19.6967005045,37,0,0,
Scary Movie,2333,19000000,157019771,277200000,138019771,258200000,66.0219580408,19.7253588989,19.6443417338,64,0,0,
Bad Teacher,2334,19000000,100292856,215448997,81292856,196448997,66.0219580408,19.54203004,19.461784594,84,0,0,
